# Value|Standard Value|Word Type
D|D|ANT
O|O|ANT
AL|AL|ANT
DA|DA|ANT
DE|DE|ANT
DI|DI|ANT
DU|DU|ANT
EL|EL|ANT
LA|LA|ANT
LE|LE|ANT
MC|MC|ANT
ST|ST|ANT
ABU|ABU|ANT
ALI|ALI|ANT
BEN|BEN|ANT
DAR|DAR|ANT
DEL|DEL|ANT
DEN|DEN|ANT
DER|DER|ANT
DES|DES|ANT
DOS|DOS|ANT
LOS|LOS|ANT
MAC|MAC|ANT
SAN|SAN|ANT
VAN|VAN|ANT
VON|VON|ANT
ABOU|ABOU|ANT
DELA|DELA|ANT
ABDEL|ABDEL|ANT
ABDUL|ABDUL|ANT
DELOS|DELOS|ANT
